"GeneSymbol","GeneID","RefSeq_Protein_GI","RefSeq_Protein_Accession","Uniprot_Protein_Accession"
"APPBP2",10513,"767993242; 541862246; 18104962","NP_006371; NP_001269405; XP_011522500; ","O95095; A0A024QZ47; A8K862; Q92624; Q8WVC9"
"APPL1",26060,"767922923; 6912242","NP_036228; XP_011531885","Q9P2B9; Q9UKG1"
"APPL2",55198,"767974743; 24586663; 1034580327; 1034580333; 767974747; 767974745; 578823917; 1034580335; 353731086; 1034580331; 353731084","XP_011536833; XP_016875042; NP_001238834; XP_006719535; XP_016875041; XP_011536834; NP_001238833; XP_016875043; XP_011536832; XP_016875040; NP_060641","F5GZG0; B7Z411; Q9NVL2; Q8NEU8; B7Z4B0; F8W1P5; Q8N4R7"
"APRT",353,"4502171; 71773201; ","NP_000476; NP_001025189","Q68DF9; P07741; Q3KP55; G5E9J2"
"APTX",54840,"1034670424; 1370514640; 1370514642; 1370514645; 1370514658; 767955029; 1370514648; 1589401558; 578816548; 578816550; 767955031; 1034670422; 1034670435; 305410835; 1589401521; 1589401526; 1589401477; 1589401571; 1589401483; 1589401575; 28329430; 28329436; 1034670427; 1034670443; 305410829; 305410837; 307746921; 1589401564; 1370514661; 1370514663; 305410833; 1034670440; 1370514655; 1589401550; 1589401542; 1589401458; 305410831; 1589401568","XP_006716855; XP_011516240; XP_024303346; NP_001355930; XP_016870320; XP_016870327; XP_024303347; NP_001182177; XP_011516241; XP_024303344; NP_001182178; NP_001355924; NP_001355925; NP_001182179; NP_001355926; NP_001355933; NP_001355934; NP_001355935; NP_778239; NP_778243; XP_016870321; NP_001182180; NP_001182181; NP_001355927; XP_006716854; XP_024303349; NP_001355931; NP_001355932; XP_016870322; XP_016870325; XP_016870326; XP_024303343; XP_024303348; NP_001355928; XP_024303345; XP_024303350; NP_001182183; NP_001355929","Q6JV85; Q7Z336; Q7Z6V8; D3DRL0; Q0P662; Q7Z5R5; Q7Z2E3; Q7Z6V7; Q5T781; Q7Z2F3; Q5T782; Q5T784; Q6JV81; A8MTN4; Q9NXM5; D3DRK9; Q6JV82"
"AQP1",358,"37694062; 1049480160","NP_001316801; NP_932766","A0A024RA31; B5BU39; E7EM69; F5GY19; Q8TBI5; P29972; E9PC21; Q8TDC1"
"AQP10",89872,"767910771; 22538420","XP_011508406; NP_536354","Q96PS8; Q5VYD4; Q8NG70; Q5VYD3"
"AQP11",282679,"1390249252; 530396617; 27370565","XP_005273974; NP_766627; NP_001350406","Q8NBQ7"
"AQP12A",375318,"40538880","NP_945349","Q8IXF9"
"AQP12B",653437,"767919353; 1034616001; 767919345; 767919349; 767919347; 767919358; 767919364; 1034615993; 767919355; 156447037","XP_016860225; XP_011509973; XP_011509979; XP_011509980; NP_001095937; XP_011509974; XP_011509978; XP_016860226; XP_011509975; XP_011509977","A6NM10; Q8IUS6; A4QPB9"
"AQP2",359,"4502179; ","NP_000477; ","P41181; Q9UD68"
"AQP3",360,"970259826; 4826645; ","NP_004916; NP_001305073; ","Q6FGT2; A0A2R8Y2R4; A8K843; D3DRL3; O00108; Q92482; B2RE16; Q6FGW6"
"AQP4",361,"767998617; 959071842; 1401565948; 959077728; 1401565944; 1401565946; 4755125; 4502181","NP_001351218; NP_004019; NP_001304316; XP_011524244; NP_001351215; NP_001641; NP_001304313; NP_001351216","P78564; F1DSG4; P55087; V9PBN7"
"AQP5",362,"4502183; 530400177; ","XP_005268895; NP_001642","Q6FGW8; P55064"
"AQP6",363,"86792455","NP_001643; ","Q13520"
"AQP7",364,"578816482; 1370514447; 1034665188; 970414603; 970414605; 530389886; 767954863; 1034665182; 767954860; 1034665180; 1034665186; 1370514442; 1370514444; 4502187; 1034665176; 1034665190; 1370514449; 1370514453; 970414601","XP_006716828; XP_024303303; NP_001305086; XP_005251510; XP_016870195; XP_011516168; XP_016870189; XP_024303307; XP_016870193; XP_024303304; XP_024303306; NP_001161; XP_011516169; NP_001305085; XP_016870191; XP_016870190; XP_016870194; XP_024303305; NP_001305087","Q6P5T0; O14520; Q8NHM3; B7Z4U2; Q5T5M0; Q5T5M1; Q08E94; Q5T5L9"
"AQP8",343,"767988493; 45446752; 767988495","XP_011544125; NP_001160; XP_011544124","O94778; Q9UIA4; Q8IUU3"
"AQP9",366,"1002341807; 157266307; 1002341809; ","NP_066190; NP_001307565; NP_001307564","H0YK62; O43315; Q9NP32"
"AQR",9716,"38788372","NP_055506","Q6IRU8; A0A024R9L1; Q2YDX9; O60306; A0JP17; A5YKK3; Q6PIC8"
"AR",367,"1143076917; 58535455; 21322252; 1143076912; 1143076919","NP_000035; NP_001334992; NP_001334993; NP_001011645; NP_001334990","Q9UD95; F1D8N5; C0JKD3; E7EVX6; A0A087WUX9; G4VV16; C0JKD4; Q9NUA2; P10275; B1AKD7; A0A0B4J1T2; A2RUN2"
"ARAF",369,"371875963; 4502193; 578838017; 768033147; 768033154; 371875793; 768033158","XP_011542208; XP_011542211; NP_001645; NP_001243126; XP_006724592; XP_011542210; NP_001243125","Q96II5; A0A024R178; A6NIT1; P10398; Q5H9B2; P07557; Q5H9B3"
"ARAP1",116985,"92091600; 206597515; 206597513; 1610576719; ","NP_001035207; NP_001128662; NP_001356418; NP_056057; ","B2RTS2; Q4LDD5; Q59FI7; Q96L71; A3KLL7; Q6PHS3; Q96HP6; O94879; Q8WU51; Q96P48"
"ARAP2",116984,"1034638295; 1034638291; 21264592; 1034638298; 1034638304","XP_016863191; NP_056045; XP_016863188; XP_016863190; XP_016863189","A7E2A5; Q4W5D2; Q7Z2L5; Q96L70; Q96P49; Q9Y4E4; Q8WZ64"
"ARAP3",64411,"530380657; 21264337; 530380655; 767937826; 530380659; 578810902; 530380661","XP_005268556; XP_005268554; NP_071926; XP_011535979; XP_005268555; XP_005268557; XP_006714855","Q9H7C1; D3DQE3; Q05CH1; Q8WWN8; B4DIT1"
"ARC",23237,"8567330","NP_056008","Q9Y469; Q7LC44; Q9UJW6"
"ARCN1",372,"530398080; 11863154; 214010212; ","NP_001646; XP_005271599; NP_001135753","E9PEU4; Q52M80; P48444; B4E1X2; B0YIW5"
"AREG",374,"4502199","NP_001648","P15514; Q5U026"
"AREL1",9870,"578826356; 767982129; 767982131; 87116668; 530404992; 767982127","NP_001034568; XP_011535718; XP_011535717; XP_006720407; XP_005268301; XP_011535719","O15033; Q7LDY1; B4E2C7; Q8IYY9"
"ARF1",375,"4502201; 66879660; 1034558384; 66879662; 66879664","XP_016856722; NP_001019398; NP_001649; NP_001019397; NP_001019399","P32889; P84077; A0A024R3Q3; P10947"
"ARF3",377,"4502203; 530400215; 578823704; 1370461841","XP_024304740; NP_001650; XP_005268913; XP_006719454","A8K6G8; B7ZB63; A0A024R0Y6; P16587; P61204"
"ARF4",378,"4502205","NP_001651","P18085; B2R7J7; P21371"
"ARF5",381,"4502209","NP_001653","P84085; P26437; A4D0Z3"
"ARF6",382,"4502211","NP_001654","Q6FGZ2; P26438; P62330"
"ARFGAP1",55738,"28416436; 578836065; 527498254; 527498256; 1034625436; 768017580; 527498258; 8922652","NP_001268411; NP_060679; NP_783202; NP_001268413; NP_001268412; XP_016883439; XP_006723886; XP_011527203","Q8N6T3; Q9UIL0; B7ZBI3; Q96KC4; Q9NSU3; Q53F62; B7Z3U0; Q9NVF6; B7Z8H8; Q96T02; E1P5I9; E7EV62; Q6PK71"
"ARFGAP2",84364,"530395873; 578820863; 31543983; 767966655; 1034575803; 530395871; 530395869; 338827663; 1034575805; 1034575807","XP_011518707; XP_016873902; XP_016873904; XP_005253223; XP_005253224; NP_115765; XP_006718409; XP_016873903; XP_005253225; NP_001229761","Q96SX7; G5E9L0; Q8N6H7; Q8N3I1; B4DX29; D3DQQ9; Q3LIF2; B7Z9M7"
"ARFGAP3",26286,"214829714; 214829673; 530419919","XP_005261582; NP_055385; NP_001135765","Q9NP61; Q9BSC6; Q9Y4V4; Q9NT10; A0A024R4U0; Q9H9J0; Q9NUP5; E9PB03; Q9Y4V3"
"ARFGEF1",10565,"530388220; 51479145; 530388216; 530388218","NP_006412; XP_005251192; XP_005251193; XP_005251191","Q9Y6D6; A0A024R7X0; Q9UFV2; Q9UNL0; Q9NV46"
"ARFGEF2",10564,"530417777; 150417986","XP_005260309; NP_006411","Q5TFT9; Q86TH5; Q59FR3; Q9NTS1; Q9Y6D5"
"ARFGEF3",57221,"154350241; ","NP_065073; ","Q5TH69; Q96P46; Q8N4Y4; Q9ULH6; C5NM88; Q96CH9; Q76MU8"
"ARFIP1",27236,"767931715; 566006098; 767931711; 767931707; 767931709; 71040092; 71040094; 767931713; 566006156; 1370486702; 566006168; 7657210","XP_011530170; XP_011530174; NP_001020764; NP_055262; XP_011530172; XP_024309753; NP_001274360; XP_011530173; NP_001020766; NP_001274362; XP_011530171; NP_001274361","Q3SYL4; Q2M2X4; B4E273; Q9Y2X6; Q8N8M9; B7ZA10; B4DS69; P53367"
"ARFIP2",23647,"530395177; 338827746; 338827750; 338827748; 6912602","XP_005252897; NP_001229783; NP_036534; NP_001229785; NP_001229784","B4E306; P53365; D3DQT5; B4DXH2; B4DUZ3; B4DX86; A0A087X1E4"
"ARFRP1",10139,"388890222; 388890218; 768015549; 388890212; 388890214; 388890220; 768015552; 1034619955; 4507449; 197927203; 388890216","NP_001254474; NP_001254476; NP_001254473; XP_011526785; NP_003215; XP_011526784; XP_016883065; NP_001254477; NP_001254478; NP_001254475; NP_001128230","Q6IBQ0; V9GYH4; A0A087WY13; E1P5J9; B7ZKX7; Q13795; B7ZKY8; A0A384P5U7"
"ARG1",383,"346986435; 10947139; 767942788; 1590643879","NP_001231367; NP_001355949; NP_000036; XP_011534103","Q5JWT6; Q8TE72; Q9BS50; P05089; A6NEA0; Q5JWT5"
"ARG2",384,"4502215; ","NP_001163","B2R690; P78540; Q6FHY8; A0A024R6A0"
"ARGFX",503582,"61969666","NP_001012677","A6NJG6"
"ARGLU1",55082,"134152708","NP_060481; ","B4E0Y3; A0A024RDW4; Q9NWB6; Q5T257; Q6IQ34"
"ARHGAP1",392,"1370459387; 767965879; 4757766","XP_024304288; NP_004299; XP_011518397","Q07960; D3DQQ6"
"ARHGAP10",79658,"530378147; 1034641126; 50843948","XP_005263272; XP_016864091; NP_078881; ","Q96S75; Q2VPC5; A1A4S6; Q96EV3; A0A2X0SFB3; Q2VPC4; A1L0S5"
"ARHGAP11A",9824,"7661858; 557129007; 557128992; 40788018","NP_001273408; NP_001273409; NP_955389; NP_055598; ","Q6P4F7; B4DZN9; Q6PI96; Q9Y3S6"
"ARHGAP11B",89839,"89886350; ","NP_001034930; ","Q3KRB8"
"ARHGAP12",94134,"767960749; 530392550; 398303807; 398303814; 1034570408; 398303810; 398303816; 398303812; 26986534","XP_005252701; NP_001257626; NP_001257625; XP_011518063; NP_001257627; NP_060757; NP_001257628; XP_016872443; NP_001257624","Q8N3L1; Q8IWW6; B1ANY0; Q504X1; Q9NT76; Q8IWW7; Q86UB3; Q1RLN5; B1ANY1; B1ANY2"
"ARHGAP15",55843,"767918870; 188497642; 767918865; 1370478268; 767918872; 767918876; 1034615241; 1034615245; 767918874; 1034615248; 1370478266","XP_011509784; XP_011509781; XP_011509783; XP_016859988; NP_060930; XP_024308768; XP_016859990; XP_024308769; XP_011509786; XP_016859989; XP_011509785","Q53R36; Q53SX9; Q584N9; Q53QZ3; Q9NZ77; Q53RD7; Q9NZ91; Q6PJE6; Q86WP1; Q8IXX1; Q9NRL8; Q53RT6"
"ARHGAP17",55114,"1034595120; 54860079; 767988623; 767988621; 767988626; 767988628; 767988618; 54860105; 767988616; 1370468771; ","NP_060524; XP_011544179; XP_011544178; XP_011544180; XP_011544176; XP_024306104; XP_011544175; XP_016878879; XP_011544177; NP_001006635","Q6ZUS4; Q96KS2; Q68EM7; A8K6M6; Q96SS8; Q9H8U5; Q7Z2F2; Q96KS3; Q9BVF6; Q9NW54; Q8NDG2"
"ARHGAP18",93663,"530384204; 39932589; 1034652281; 1034652279","XP_005267270; XP_005267269; XP_016866983; NP_277050","Q6PJD7; Q96S64; Q8N392; E1P575; Q58EZ3; Q6P679"
"ARHGAP19",84986,"374093192; 324021730; 67906814","NP_001191229; NP_001243352; NP_116289","A1XCP1; Q8TEK1; Q5T460; Q14CB8; B4DZR1; Q14CF2; Q68DG6; Q8NF34; Q5J8M2; Q5T462; Q8N9X1"
"ARHGAP20",57569,"385862214; 530398281; 51479148; 385862210; 578822338; 385862208; 385862212","NP_065860; NP_001245346; XP_005271685; NP_001245345; XP_006718956; NP_001245344; NP_001245347","B0YIW7; A8K8C5; Q6RJU3; Q8IXS1; Q6RJU1; Q6RJU5; Q9P2F6; B0YIW8; Q6RJU2"
"ARHGAP21",57584,"767960373; 767960375; 767960383; 1034568965; 1524650736; 767960377; 767960385; 1524650793; 1524650662; 1524650779; 530392347; 1034568967; 1524650576; 1524650740; 1524650448; 1524650694; 1524650784; 1370457468; 530392343; 767960379; 1034568961; 203097003","XP_005252599; XP_011517904; XP_016871948; NP_001354378; NP_001354381; XP_016871950; XP_005252601; NP_001354376; XP_011517905; NP_001354384; XP_011517909; XP_011517908; XP_024303856; NP_001354377; NP_001354380; XP_016871949; NP_001354379; NP_001354383; XP_011517906; XP_011517907; NP_001354382; NP_065875","Q0VF98; Q7Z3P7; Q8N3A2; Q8NI19; Q8TBV5; Q5T5U3; Q9P2C3"
"ARHGAP22",58504,"530394070; 1370457506; 1370457516; 1370457531; 365733566; 34013590; 767963398; 767963413; 1034569019; 1114655561; 767963394; 767963411; 1370457527; 767963400; 767963415; 767963419; 1114655567; 767963392; 365733568; 365733570; 1034569032; 1115538302; 1114655565; 1370457513; 1370457524; 1370457529; 1370457533","XP_011538305; XP_011538313; XP_016871965; XP_024303868; NP_001334667; XP_005270071; XP_011538304; XP_011538308; XP_024303867; XP_024303869; XP_024303871; XP_024303872; NP_067049; XP_011538307; XP_016871960; XP_024303870; XP_024303874; NP_001242955; NP_001334665; NP_001334666; XP_011538314; XP_024303873; NP_001242953; NP_001334664; XP_011538315; XP_011538317; NP_001242954","A5YM75; A0AVP7; C9JDM2; O00152; Q7Z5H3; Q6ZSB0; B4DED8; B9EGA0; A0A2X0SFC0"
"ARHGAP23",57636,"767995434; 767995437; 313661470; 578831176; 1034600632; 1370471735; 767995443; 578831180; 578831178; 767995432; 767995440","XP_006722055; XP_016880391; NP_001186346; XP_011523375; XP_011523376; XP_011523377; XP_011523379; XP_006722056; XP_006722054; XP_011523378; XP_024306615","Q9P227"
"ARHGAP24",83478,"767932777; 111154099; 1069561749; 1370487654; 568215701; 1370487656; 111154092; 111154090","XP_024310006; NP_001274734; NP_001333022; XP_024310007; NP_001036134; XP_011530602; NP_001020787; NP_112595","Q86TI5; Q6ZNV3; Q86WE4; Q9H0T6; Q4KMG1; Q8N264"
"ARHGAP25",9938,"767915510; 261399907; 767915516; 1034618143; 767915508; 1034618135; 530368350; 261399909; 7661882; 767915512; 767915514; 1034618152; 1423310398; 1423310284; 1423310317; 530368348; 1034618137; 1034618147; 261399911; 1034618149","XP_011531509; XP_011531510; XP_016860913; NP_001351748; NP_001351750; XP_016860912; XP_005264733; XP_016860917; NP_001007232; XP_016860915; XP_011531512; NP_001159748; NP_055697; XP_005264732; XP_011531508; XP_016860914; XP_016860916; NP_001159749; NP_001351749; XP_011531511","G5E9G2; V9HWC8; B7Z498; Q8IXQ2; A8K2Y1; E9PFQ7; P42331; A0A384MTM1"
"ARHGAP26",23092,"1370488740; 208022687; 1370488738; 1370488724; 1370488726; 1160595639; 1370488714; 1370488729; 1370488734; 7662208; 530380460; 1370488736; 1370488718; ","NP_001129080; XP_006714837; XP_016864738; XP_016864737; XP_005268459; NP_001336476; XP_011535912; XP_011535913; XP_005268455; XP_016864739; XP_005268456; XP_016864736; NP_055886","Q9BYS6; Q9UJ00; Q5D035; Q9BYS7; Q9UNA1; A0A0S2Z536; O75117"
"ARHGAP27",201176,"767993914; 767993932; 1034598633; 767993917; 767993920; 530411730; 578830543; 767993934; 40548322; 578830557; 767993912; 1034598618; 226817316; 767993924; 533868710; 578830547; 1034598627","NP_777579; XP_005257185; XP_011522771; XP_016879800; XP_011522770; XP_011522772; XP_011522773; XP_011522775; XP_016879802; NP_954976; XP_011522774; XP_011522776; NP_001269219; XP_006721808; XP_016879801; XP_006721810; XP_006721813","C9JTF3; Q8WY58; E9PNT2; Q494U0; A4FU35; A8K3N5; Q6ZUM4; Q6NWZ8; Q8N2Y9; E9PIR1"
"ARHGAP28",79822,"530424945; 578832208; 578832209; 1482648676; 1482648682; 59710113","XP_005258201; NP_001353159; XP_005258202; NP_001010000; XP_005258203; NP_001353160","B4DXL2"
"ARHGAP29",9411,"767906784; 1040735428; 1040735424; 1040735430; 1040735426; 134304853","NP_001315596; NP_001315594; XP_011540741; NP_001315593; NP_004806; NP_001315595","Q59H86; O15463; Q8TBI6; Q6NVX2; Q52LW3; Q5VYZ0"
"ARHGAP30",257106,"530364531; 1034557515; 71040098; 567316212; 767908924; 530364525; 71040096; 567316026","XP_005245127; NP_001274531; XP_005245130; NP_859071; NP_001274529; XP_011507693; XP_016856449; NP_001020769","Q5SY53; Q7Z3J8; Q5SY52; Q6ZML6; Q7Z6I6; Q86XI7; A0A0A0MRJ8; A0A0A0MRJ9; Q5SY54"
"ARHGAP31",57514,"186928844; 578807628; 1034634835","XP_006713777; XP_016862444; NP_065805","Q2M1Z3; Q9ULL6"
"ARHGAP32",9743,"767970797; 1034576420; 767970805; 1034576417; 767970799; 29469071; 218083800; 1034576412; 1034576415","XP_016874085; XP_016874084; XP_011541377; XP_016874086; NP_055530; XP_005271793; XP_011541375; XP_011541374; NP_001136157","Q86YL6; Q86T64; A7KAX9; I7H0B0; O94820; Q8IUG4; Q9BWG3"
"ARHGAP33",115703,"530415643; 578833913; 768006340; 768006348; 289547507; 768006354; 1034606043; 1482178921; 768006337; 768006361; 23510413; 578833922; 768006343; ","XP_011524721; NP_001166101; XP_011524719; XP_011524718; NP_001353107; NP_443180; XP_006723066; XP_006723062; XP_016881727; XP_005258545; XP_011524720; XP_011524722; XP_011524723; ","Q6ZSP6; Q96CP3; Q9NT23; O14560; A1A5D2; O14559; O14552"
"ARHGAP35",2909,"150417981; 1370474981","XP_024307241; NP_004482","A7E2A4; Q9C0E1; Q14452; Q9NRY4"
"ARHGAP36",158763,"1060628736; 40255080; 543413375; 768038898","NP_659404; XP_011529582; NP_001269536; NP_001317580","Q5JRM0; Q5JRM1; Q96NU6; B7Z234; Q6ZRI8; B7Z439; Q5JRL9"
"ARHGAP39",80728,"815659683; 58331179; 767953638; 767953640; 767953647; 1034661643; 815659685","NP_079527; XP_011515610; NP_001295136; XP_011515614; XP_011515611; NP_001295137; XP_016869359","B3KS00; Q6PJQ0; B4DK23; Q9C0H5; B4E1I1"
"ARHGAP4",393,"156071465; 258613907; ","NP_001158213; NP_001657; ","P98171; Q86UY3; Q14144"
"ARHGAP40",343578,"256574758","NP_001157903","-"
"ARHGAP42",143872,"1546278263; 221307575; 767969622; 767969626; 1034572094; 1034572090; 767969624","NP_001354874; XP_016872726; XP_011540917; XP_016872727; NP_689645; XP_011540918; XP_011540919","Q96M56; A6NI28"
"ARHGAP44",9912,"530410838; 1007376289; 1007380802; 151108509; 1007374019; 1007377271","NP_001308095; NP_001308097; NP_001308093; XP_005256948; NP_055674; NP_001308096","O75160; E7ERK8; A8MQB2; Q17R89; Q9Y4Q4; A6NCP5; Q7Z5Z7; Q69Z00"
"ARHGAP45",23526,"537361054; 385251392; 537361056; 47834348; 1370474766; 1007393347; 768001677; 578833146","XP_011526160; NP_001245257; NP_001308161; XP_006722776; NP_001269264; NP_036424; NP_001269263; XP_024307203","F6QP70; Q9GJP1; Q92619; K7ES92; Q6P189; Q86WS1; Q8IYN3; B3KVA9; K7ES98; B4DTS4; Q9GJN9; Q9GJP0; F5H1R4; Q9MY24; Q8HX84; Q7LE26; B3KXW7"
"ARHGAP5",394,"530403725; 71834863; 530403723; 1034587044; 71834861","XP_005267692; NP_001164; XP_016876777; XP_005267693; NP_001025226","D3DS89; D3DS90; Q05BU8; A1L375; A1L376; Q6DHZ3; Q59ER0; Q13017; A8KAA1; Q05BE8"
"ARHGAP6",395,"95091988; 564730684; 7382480; 95091875","NP_001274171; NP_038267; NP_006116; NP_038286","Q59HG6; O43182; O43437; B2RWQ0; Q9UK82; Q9P1B3; Q9UK81"
"ARHGAP8",23779,"66346662; 66346660; 311213852","NP_001185655; NP_851852; NP_001017526","P85298; O95695; Q96RW2; Q9NSG0; Q6PJW1; A6ZJ79; Q9UH20; A6ZJ80; Q96RW1; Q9HA49; Q9HC46; O75983; Q9NVX8; Q9NXL1"
"ARHGAP9",64333,"530400692; 530400694; 767975092; 1034581104; 122939149; 1523714248; 1523714269; 767975088; 767975090; 767975086; 1523714237; 122939147; 1034581100; 1523714246; 1523714235; 1034581108; 985701201; 122939151; 530400696; 1034581098; 1034581110; 1523964334; 985701203","XP_011536958; XP_011536959; XP_016875289; XP_016875292; NP_001354354; NP_001354355; XP_016875293; NP_001073625; NP_001354351; XP_005269141; XP_011536960; NP_001073626; NP_001306780; NP_001354352; XP_005269140; XP_016875290; NP_001306779; XP_011536961; XP_005269142; NP_001354353; XP_016875291; NP_001306781; NP_115885","Q8TCJ3; J3KPQ4; Q96S74; Q8WYR0; Q96EZ2; B3KQ74; E9PDX9; Q8NAF3; Q9BRR9; B4DVI3"
"ARHGDIA",396,"669033307; 669033311; 767997413; 4757768; 669033305; 297374782; 669033309; 297374785","NP_001172007; NP_001172006; NP_001288169; NP_001288170; NP_004300; NP_001288172; XP_011521876; NP_001288171","Q6IBM5; P52565; A8MXW0; B4DUV9; B2R5X1; B4DDD3; J3QQX2; V9HWE8"
"ARHGDIB",397,"56676393; 1009287439; 1370461873; 1009287467; 1009287518; 1009287433","NP_001308349; NP_001308351; NP_001308350; XP_024304747; NP_001166; NP_001308352","P52566; A0A024RAS5; B5BU79"
"ARHGDIG",398,"83313661","NP_001167","Q4TT69; Q96S29; F1T0H7; Q99819"
"ARHGEF1",9138,"15011972; 39777606; 39777604","NP_945328; NP_945353; NP_004697","Q92888; Q8N4J4; O00513; Q96F17; Q9BSB1; Q6NX52; A0A024R0R1; Q96BF4"
"ARHGEF10",9639,"815659687; 530387366; 1370513189; 815659689; 62548864; 767950192; 767950185; 767950187; 1034662064; 1370513191; ","XP_011533070; XP_005266098; XP_016869492; XP_024303103; NP_001295082; NP_001295081; XP_011533072; NP_055444; XP_011533069; XP_024303102; ","O15013; O14665; Q8IWD9; Q8IY77; Q2KHR8; Q68D55"
"ARHGEF10L",55160,"767904918; 1034559697; 74136547; 985701183; 578799362; 1034559684; 1034559682; 1370453684; 1034559686; 1370453686; 1370453688; 985701185; 1034974181; 578799348; 578799358; 1034559695; 578799374; 578799352; 1034559678; 578799354; 767904916; 767904920; 58761492","XP_011539993; NP_001315053; NP_060595; XP_005245986; XP_024303829; XP_024303830; XP_011539994; XP_016857106; XP_006710792; XP_006710794; XP_016857107; XP_005245980; XP_011539995; NP_001011722; XP_005245982; XP_016857108; XP_016857109; XP_016857110; XP_016857111; XP_024303827; NP_001306766; NP_001306767; XP_006710791","Q5VXI4; B7ZKS1; Q17RW1; Q66K51; B4DTL3; Q5VXI5; Q8NAV5; Q9HCE6; Q5VXI6; Q6P0L7; Q9NVT3; Q3YFJ4"
"ARHGEF11",9826,"1034563650; 530365683; 767910993; 1034563641; 1034563646; 578801803; 767911006; 1034563652; 7662086; 578801808; 578801812; 578801805; 767910998; 767911001; 38026934; 578801799; 530365675; 578801801; 1034563654","XP_006711724; XP_011508491; XP_005245686; XP_006711725; XP_011508489; XP_016858409; XP_016858412; XP_006711728; XP_011508487; XP_011508488; XP_016858411; NP_055599; XP_005245690; XP_006711722; XP_006711726; XP_016858410; NP_937879; XP_006711723; XP_016858413","Q6PFW2; D3DVD0; Q5VY40; O15085"
"ARHGEF12",23365,"767969898; 1034572696; 666637991; 578822090; 1034572694; 7662088; 310832410; 1034572692","XP_016872911; NP_056128; XP_006718868; XP_011541022; XP_016872909; XP_016872910; NP_001185594; NP_001288013","E9PMR6; B4E2K6; Q9NZN5; O15086; Q6P526"
"ARHGEF15",22899,"767991830; 767991836; 767991832; 767991834; 302191621; 32307166; ","NP_079290; XP_011522037; XP_011522039; NP_776089; XP_011522038; XP_011522036","A0A0S2Z547; A8K6G1; Q8N449; O94989; Q9H8B4"
"ARHGEF16",27237,"1034557780; 1370452819; 1034557778; 1370452821; 1034557776; 163792208; ","XP_024302222; XP_016856540; XP_024302223; NP_055263; XP_016856539; XP_016856538","Q5VV41; Q86TF0; Q99434; B3KTS4"
"ARHGEF17",9828,"21361458; 1034576481; 1034576479","XP_016874113; XP_016874112; NP_055601","Q96PE2; Q86XU2; Q8N2S0; Q9Y4G3; B2RP20"
"ARHGEF18",23370,"578833133; 41327769; 530427472; 768001540; 768001568; 768001564; 1538604420; 768001550; 578833128; 768001545; 578833126; 768001572; 1538591709; 1538727073; 768001582","XP_006722768; XP_011526138; XP_006722771; NP_001354753; XP_011526143; NP_056133; XP_011526141; XP_011526137; XP_011526139; NP_001124427; NP_001354752; XP_005272521; XP_006722769; XP_011526142; XP_011526140","A0A3B3IPE9; I3L1I5; A8MV62; O60274; Q6ZSZ5; B5ME81; Q6DD92"
"ARHGEF19",128272,"767902427; 40255149","NP_694945; XP_011539008","Q8IW93; A6NJ04; Q6PJQ4; Q8N244; B4DN02; Q5TEV2"
"ARHGEF2",9181,"530365592; 530365594; 578801709; 578801711; 767910855; 1370455212; 530365588; 578801702; 767910871; 1034563268; 1034563278; 253735778; 1174098414; 15011974; 1370455205; 1174098486; 1034563270; 530365590; 530365596; 578801705; 578801707; 1034563272; 1034563293; 253735775; 1174098421; 530365602; 1034563288","XP_005245648; NP_001155855; XP_005245647; XP_006711687; XP_024306583; XP_006711689; XP_016858284; NP_001337039; NP_001337041; XP_005245651; XP_006711686; XP_011508439; XP_011508441; NP_001155856; NP_001337040; XP_016858283; XP_016858286; NP_004714; XP_005245646; XP_006711688; XP_011508438; XP_016858287; XP_024306591; XP_011508445; XP_005245644; XP_005245645; XP_006711685","D3DVA6; O75142; Q15079; Q8TDA3; Q92974; Q9H023; Q5VY92; Q8WUG4"
"ARHGEF25",115557,"1123788552; 162287076; 1519312283; ","NP_001104740; NP_891992; NP_001334862","Q96E63; Q86VW2; A9CQZ6; A6NJH5; F8W7Z4; Q8WV84"
"ARHGEF26",26084,"194473700; 1034632546; 354459394; 354459392; 767926358","NP_056410; XP_016861649; NP_001238892; NP_001238891; XP_011510974","B3KVP8; Q68CL1; Q6AZ96; Q96AW8; A0A140VJU4; E9PBD0; Q96DR6; B3KXG0; Q6Q8Q8; Q9H9D7; Q96DR7; Q9UFW5; Q9H9R2"
"ARHGEF28",64283,"295148073; 767936275; 767936277; 1034645634; 1034645637; 295148070; 530379434; 346986273","XP_011541849; NP_001171164; NP_001231293; XP_005248625; XP_016865192; XP_016865191; XP_011541848; NP_001073948","B4E3K4; B5MDA3; B7ZW32; Q8N1W1; B2RXG7; Q8NCM7; Q9H6L3; Q9H6W0; E9PC75; Q96E37"
